,x
1,FGFR1
2,CCL22
3,THY1
4,EFCAB5
5,MX2
6,TGM5
7,EMILIN2
8,ASIC3
9,COL13A1
10,NRCAM
11,ZNF280C
12,ANKAR
13,SNORD89
14,IVNS1ABP
15,CWF19L2
16,ANKRD23
17,ZNF93
18,H1FX-AS1
19,KRT15
20,CHAD
21,MACROD2
22,UGT1A4
23,OCLM
24,LCN12
25,KIF14
26,FETUB
27,SMC2
28,COL4A1
29,THUMPD3-AS1
30,LRRC63
31,LOC389765
32,CHST1
33,ZNF586
34,ABCA13
35,FBN1
36,GLT8D2
37,RAD54L
38,NUDCD1
39,MED12L
40,KIAA1328
41,OTUD6B
42,CCDC3
43,ZNF732
44,TMEM200A
45,ZNF782
46,CPXM2
47,TAS2R31
48,SPICE1
49,ADIRF
50,RNF165
51,PRSS54
52,RIMS1
53,ZFHX4
54,HERC2P3
55,PCDHGA12
56,MBD5
57,MIR200C
58,BTBD16
59,NFE2
60,NDC80
61,ENTPD8
62,NOS2
63,PCDHGA9
64,VLDLR-AS1
65,N4BP2
66,SNORA54
67,NBPF12
68,CACNA1B
69,BMS1P4
70,IL2RB
71,FOXD4
72,LOC729603
73,WDR66
74,GOLGB1
75,ZDHHC11
76,RDH16
77,MSLN
78,ZNF765
79,DMC1
80,ANKRD18B
81,DLEC1
82,FANCB
83,ABCD2
84,KIZ
85,ELFN1
86,HERC2P9
87,CES1P1
88,DNAH12
89,CCAT1
90,B3GNT6
91,ZNF77
92,ZNF90
93,BNC2
94,ANKRD1
95,ALPL
96,LYG1
97,SACS
98,ZNF25
99,VWA8
100,HNRNPA1L2
101,PSCA
102,PRDM6
103,BDP1
104,RPGRIP1L
105,ABCC5
106,PCDHGA6
107,SNORD116-4
108,PRPF39
109,AGAP6
110,EME1
111,STARD9
112,CENPI
113,FLJ37201
114,PCDHGB2
115,FAM227A
116,DDIT4L
117,ANKRD20A8P
118,LINC00578
119,KIF3A
120,CCDC30
121,PRSS12
122,DMTF1
123,SULF1
124,GUSBP11
125,MIPOL1
126,SNORA71D
127,ZNF638
128,DCLK2
129,ZNF467
130,TAS2R30
131,PRPF38B
132,PLEKHG7
133,STPG2
134,FSTL4
135,C1RL-AS1
136,DLC1
137,RUFY2
138,RNF207
139,ATP8A2
140,MYRIP
141,QRICH2
142,PGBD4
143,LINC01347
144,CACNA1E
145,CCDC66
146,THOC1
147,PHF3
148,BTBD8
149,SERPINE1
150,SYT13
151,STXBP6
152,CCDC158
153,FAM95C
154,RBP5
155,RPS6KA5
156,BICD1
157,RNF180
158,CLCN6
159,MYEF2
160,PAPPA2
161,GKAP1
162,CROCCP3
163,FAT3
164,PTBP2
165,WHAMMP3
166,TRIP11
167,CLK4
168,BTAF1
169,ZNF491
170,SMG1P7
171,EEA1
172,LOC729732
173,ZNF92
174,TPTE2P6
175,LOC155060
176,STAB1
177,LYZ
178,C6orf163
179,ZNF662
180,CIITA
181,DKK1
182,ESF1
183,EML6
184,PLXDC1
185,LAT
186,ZMYM2
187,ATP13A4
188,SDHAP2
189,ZNF630
190,SDCCAG8
191,NOL8
192,RNPC3
193,IL32
194,NEIL3
195,ITGBL1
196,LY6G5B
197,BEST4
198,LAMA2
199,NBPF18P
200,CTTNBP2
201,LOC100506178
202,AADACL2-AS1
203,RBM28
204,LINC00342
205,TMEM229B
206,LOC642846
207,CDKAL1
208,SORBS1
209,DDX11
210,PCDHGB7
211,RDM1
212,KDM7A
213,KCNMB3
214,CENPU
215,AXDND1
216,DPY19L2
217,ARMC2
218,BRCA1
219,GPX2
220,SNORD116-22
221,CD200
222,ENOSF1
223,C1orf54
224,RBFADN
225,SLFN12
226,LOC100996447
227,AHI1
228,SPATA6L
229,LMNB1
230,LOC440434
231,PCDHGB6
232,LINC00332
233,DLGAP1-AS2
234,FMOD
235,LOC283299
236,CWC25
237,FAN1
238,ERP27
239,CDKL4
240,FAM111B
241,ROBO2
242,RPL21P44
243,SNORA38
244,KC6
245,XRRA1
246,ENTPD1
247,EFCAB7
248,CHSY3
249,IL6
250,LOC399815
251,STK33
252,NCAPG2
253,EVC2
254,PCDHB19P
255,PNMA2
256,NIN
257,ZNF292
258,GABPB1-AS1
259,NRBP2
260,ITPR2
261,SLC9C2
262,ADAM22
263,LOC100132078
264,OIT3
265,COL4A4
266,THBS2
267,SYNE1
268,ICAM1
269,CATSPER3
270,KANTR
271,ACTR3C
272,SNORA62
273,CEP128
274,RHBDL3
275,DNASE1L3
276,BNIPL
277,PER2
278,SASS6
279,SMG1P2
280,BRD8
281,FHAD1
282,WRN
283,SRRM5
284,COL1A1
285,ZFC3H1
286,BREA2
287,RIF1
288,LOC100288637
289,TSGA10
290,CENPE
291,SOWAHA
292,ZNF141
293,MAP2K6
294,PUS10
295,CRABP2
296,GABBR1
297,TNNT2
298,GOLGA8R
299,LOC200772
300,PRTFDC1
301,CTSE
302,ADAMTS14
303,PRIM1
304,CYP2C18
305,GPX3
306,SERPINI2
307,OSBPL6
308,THOC2
309,HSD17B1
310,TIGD1
311,ZNF814
312,DYNC2H1
313,CCDC88A
314,MSH5-SAPCD1
315,KIF1A
316,ALOX15B
317,AASS
318,GUSBP2
319,AFAP1-AS1
320,PLA2G4C
321,MSX1
322,KIF21A
323,PKD1L3
324,MTRF1
325,ZNF14
326,OFD1
327,SLC5A1
328,ENO3
329,PLCL1
330,SLC5A9
331,CFTR
332,AGBL4
333,ZNF711
334,TICRR
335,CHMP1B2P
336,SPNS2
337,SLC4A9
338,ZNF670
339,KCNH1
340,DMGDH
341,HES5
342,BRCA2
343,ZNF595
344,NIPSNAP3B
345,ZNF487
346,SPNS3
347,PRPF18
348,ZNF876P
349,LINC00174
350,CNTNAP1
351,POLE2
352,RBL1
353,PDE6A
354,C5orf34
355,HPGD
356,SNORA66
357,TTLL9
358,TRPV3
359,EFCAB6
360,CYP4A22
361,WEE1
362,PI3
363,MAMDC2
364,SENP6
365,LINC00471
366,KCTD16
367,PDGFD
368,ATP2C2
369,NRXN1
370,ELMOD1
371,ESCO1
372,PPIP5K2
373,ZNF354B
374,ZNF295-AS1
375,LINC00893
376,LEF1
377,SYT11
378,SPOCK2
379,NAA16
380,PER3
381,RNF5P1
382,FGD5P1
383,ZNF485
384,TXLNB
385,LY6D
386,ZGRF1
387,MLXIPL
388,DNAAF1
389,SNORA80B
390,IRF8
391,LYPLAL1-AS1
392,FRA10AC1
393,LOC100130691
394,TMEM232
395,LINC00460
396,PYGM
397,LINC00607
398,LRP2
399,ZNF37BP
400,SLC38A6
401,CYP2C8
402,NFAM1
403,7-Mar
404,TAF7L
405,ZNF442
406,TRIM17
407,DCHS2
408,EFCAB13
409,L3MBTL1
410,KRBA2
411,ZNF737
412,RNGTT
413,ZNF443
414,EZH2
415,PDE4DIP
416,SNORA68
417,THBS3
418,FKSG29
419,CEP290
420,PMP22
421,TSPAN7
422,NEMF
423,LOC102546294
424,MAP2
425,LYPD2
426,IQUB
427,MBTD1
428,PRTG
429,IL31RA
430,BPTF
431,BRWD1
432,KNTC1
433,CDK5RAP2
434,PDE7A
435,ARHGAP11A
436,SNORA48
437,DYNC1I1
438,KLHL3
439,DOCK10
440,MGP
441,IL18BP
442,IQGAP3
443,AADAT
444,LOC100130950
445,ZNF567
446,PDE2A
447,TNFRSF9
448,TCN1
449,SCN2A
450,CRYGS
451,NAV3
452,NAA15
453,VCAN
454,RAPGEF5
455,FAM71E2
456,CLVS1
457,LINC00271
458,WDR27
459,LOC100506606
460,DNAH17
461,MKI67
462,LTBP2
463,INVS
464,AGER
465,SALL4
466,GEM
467,CDCA7
468,PSMD6-AS2
469,COL8A1
470,PMS1
471,AGTPBP1
472,LYPD3
473,PABPC1L
474,LOC101926913
475,RBM5
476,SUPT3H
477,MIR222
478,TBC1D19
479,ZNF717
480,SYNPO2
481,LYPD6
482,GOLGA2P5
483,FAM3D
484,LINC01252
485,GRASP
486,BUB1B
487,RASGEF1A
488,MERTK
489,SCART1
490,SNORD95
491,CCDC175
492,FIGNL1
493,HP1BP3
494,GON4L
495,CCDC162P
496,XAF1
497,TAF1L
498,C2orf70
499,TMEM156
500,MTMR7
501,SRPX
502,NPIPB5
503,WNK3
504,SNORD58A
505,GCC2
506,TPTE2P1
507,COL28A1
508,ANKRD20A11P
509,DNM1
510,KIAA1257
511,PLA2R1
512,ZNF844
513,KRT16P1
514,DEPDC5
515,DLEU7-AS1
516,RBM19
517,PCDHGA5
518,TYW1B
519,EMC3-AS1
520,ADAM1A
521,AGBL2
522,PDE4B
523,PDE11A
524,PNISR
525,DPP4
526,CSMD1
527,DHRS2
528,WDR17
529,ZBTB20
530,CECR2
531,ADAM23
532,BCO2
533,KIN
534,GBAP1
535,SNORA49
536,NPPA-AS1
537,AMY2B
538,SPAG16
539,GPR19
540,NNMT
541,ZNF484
542,COL27A1
543,UGT1A3
544,PTGS2
545,ANK3
546,ZC3H12B
547,SYNPR-AS1
548,ATP6V1C2
549,MIS18BP1
550,LUC7L3
551,ZNF214
552,SNX10
553,PSORS1C3
554,CPVL
555,KCNQ1OT1
556,PCSK5
557,CPLX1
558,GAL
559,SCN11A
560,MSH2
561,SNORA65
562,DPYSL3
563,MSTO2P
564,HYDIN
565,LYPD1
566,CASC15
567,LRRC36
568,AREG
569,ZNF700
570,ZNF138
571,ZNF223
572,GUSBP4
573,MYO1H
574,OBSCN
575,ERICH6
576,LEPR
577,FAM133B
578,RSRC1
579,INHBA
580,LOC643339
581,ZNF382
582,FUT2
583,KBTBD8
584,SIM2
585,PIK3C2G
586,DCAF4L1
587,BACH1-IT2
588,OGFR-AS1
589,SRBD1
590,ANAPC4
591,CCDC114
592,PZP
593,LOC100507053
594,COL22A1
595,BRSK1
596,SNORA8
597,TOP2A
598,DLL3
599,ZNF699
600,GUCY1B2
601,BEX5
602,LRRC69
603,ZNF407
604,EPB41L2
605,TAF1
606,KLHDC1
607,HELB
608,SLC4A5
609,PWARSN
610,C11orf65
611,SLC7A2
612,MYH7B
613,NFAT5
614,SPATA32
615,CEP55
616,ZNF823
617,ZNF84
618,GVINP1
619,SLK
620,SPIDR
621,PHF14
622,LENG8
623,SRSF11
624,PVT1
625,RBM6
626,TMEM176A
627,TMPRSS5
628,ANKS1B
629,RUFY3
630,CA3
631,SPARC
632,PTK6
633,ANKRD20A5P
634,SP4
635,ATF7IP2
636,PLCH1
637,SUV39H2
638,DRICH1
639,ST6GALNAC5
640,ZNF660
641,GPC6
642,ZC2HC1A
643,ZRSR2
644,RPS16P5
645,ZNF594
646,CACNA1A
647,SLC7A9
648,ZNF833P
649,CYP2B7P
650,SFTA1P
651,MORC3
652,MYCBPAP
653,TPR
654,DTNA
655,ATP8B4
656,TBC1D32
657,PTX3
658,MON2
659,ZFP37
660,GPER1
661,ZFP62
662,ADAM19
663,SLC26A9
664,ZNF280B
665,CLASRP
666,G0S2
667,ARC
668,SNCAIP
669,KRT6A
670,LOC101929140
671,NBEA
672,STAG3L1
673,SCARNA22
674,ORC6
675,ZNF34
676,SCAND2P
677,EEF1DP3
678,GTF2H2B
679,ODF2L
680,ESCO2
681,C2orf27A
682,CENPJ
683,ZNF432
684,RNU11
685,SDHAP1
686,DNAI1
687,PRAME
688,DDX12P
689,MCM7
690,HEATR4
691,CENPK
692,EVL
693,KRT6C
694,FN1
695,FOXI1
696,BBS9
697,NCAPG
698,ALOX12P2
699,ASXL3
700,HMCN1
701,CCDC171
702,ACTR3B
703,SYCE3
704,ERG
705,ARHGAP6
706,JAM3
707,LINC00862
708,DDHD1
709,FTX
710,DUSP13
711,GPALPP1
712,ROR1
713,ARMCX4
714,HLA-DQB1
715,ZNF571-AS1
716,SHCBP1
717,SCN9A
718,IFFO1
719,FMN1
720,A2M
721,ZNF204P
722,SEMA6A
723,FOSL1
724,MDM4
725,APLP1
726,PA2G4P4
727,JAKMIP3
728,GDPD2
729,C12orf74
730,POLQ
731,ZNF514
732,RPTN
733,PCDHGA8
734,CEBPA
735,PPIEL
736,HSD17B3
737,FGF2
738,ZNF202
739,SORCS2
740,ARHGAP28
741,GUCY2F
742,COL24A1
743,ITGA1
744,KLKB1
745,MYO15B
746,HDX
747,UPP2
748,CACNA1F
749,ZNF563
750,FREM2
751,CCDC144B
752,LMCD1-AS1
753,WDR49
754,UPF3B
755,CDC45
756,SPC25
757,STAG3L2
758,CPO
759,PMS2P4
760,SSUH2
761,ZNF577
762,C2CD4A
763,STAC3
764,ADAMTS6
765,MUSTN1
766,MTCP1
767,LOC645513
768,CCDC15
769,ZNF571
770,CLSPN
771,ZNF565
772,KIF20B
773,CCDC84
774,SLIT2
775,ZNF589
776,NUSAP1
777,ATP13A5
778,TSNAXIP1
779,KIF6
780,ANKRD31
781,DNAJC28
782,PATL2
783,HIBCH
784,HPDL
785,NRXN3
786,SGK2
787,KIAA0895L
788,MIR1260B
789,MKRN7P
790,CLTCL1
791,DLG4
792,TYRO3P
793,ZNF300
794,LINC01355
795,IP6K3
796,BCAT1
797,ANKRD36
798,FNBP4
799,ZNF518A
800,CASP8AP2
801,CEP72
802,FAM184A
803,SYT10
804,OGDHL
805,USP32P2
806,UBD
807,RAB40AL
808,IQCA1
809,MCPH1
810,KLHL41
811,SCG2
812,FBXO39
813,RBAK
814,ALG1L9P
815,LOC220729
816,ZNF852
817,CRB1
818,FANK1
819,RORA
820,GOLGA8N
821,SLC6A16
822,RAD51B
823,LINC00707
824,ABCA11P
825,C5orf63
826,CCT6P3
827,CYSLTR1
828,HIF3A
829,PARPBP
830,GIPR
831,SNORA80A
832,STAG1
833,HCK
834,ACRBP
835,COX7A1
836,SNORA53
837,DNA2
838,LRRC17
839,NEK1
840,POLI
841,CHD6
842,PPP1R1B
843,ESYT3
844,ZRANB2-AS2
845,ABCC9
846,ADCY1
847,TRMT10B
848,LRRC39
849,CSAD
850,PCDHGA3
851,SLC28A1
852,ASTN2
853,MCOLN3
854,DEPDC1B
855,NEAT1
856,S100PBP
857,PIEZO2
858,ZNF157
859,ACY1
860,CATSPER2
861,LINC01006
862,MYSM1
863,HOXA3
864,LOC374443
865,CNTLN
866,PGBD5
867,SMC6
868,C6orf141
869,ZNF667
870,CCDC146
871,DDX10
872,CASC1
873,MYO15A
874,LGALS8-AS1
875,CES4A
876,ZNF845
877,POLA1
878,PMS2CL
879,AK9
880,ZNF300P1
881,CCDC81
882,TIGD7
883,XIST
884,MNAT1
885,AGAP11
886,MYCBP2
887,LINC00964
888,CLUAP1
889,ANKRD45
890,CRMP1
891,SNORD33
892,ZNF493
893,ZNF10
894,TOP1P1
895,GABRE
896,NLRC3
897,CAPS2
898,LCP1
899,ALK
900,SNORA63
901,SNX31
902,TTC14
903,SNORD116-20
904,VCAM1
905,CYP2C9
906,PCDH9
907,DIAPH3
908,LINC01341
909,PSD3
910,SPEF2
911,LINC00887
912,DEPDC1
913,ST8SIA1
914,SULT1E1
915,PLCB1
916,EXOC6B
917,PROX1
918,UCHL1
919,VTI1A
920,ZNF663P
921,RRM2
922,RAD51AP2
923,GNG11
924,TNIP3
925,TIGD4
926,HSPA7
927,PPP2R2B
928,CCDC73
929,AKAP6
930,COL4A5
931,ZNF600
932,FAM122C
933,CMYA5
934,GARNL3
935,LOC100505715
936,LOC100133091
937,GSDMB
938,RBM26
939,TTLL7
940,ZNF235
941,SOX17
942,TNNI3
943,SH3RF3
944,TIMP1
945,LAMA1
946,ZNF197
947,UCN2
948,IGSF10
949,LINC01060
950,ZNF345
951,CCDC151
952,CHN2
953,ZNF117
954,ZNF135
955,CHGB
956,LOC101927746
957,HOXA11
958,ZNF311
959,FSIP2
960,C5
961,SEPT5-GP1BB
962,GUSBP9
963,PCF11
964,LARP1B
965,NCAM1
966,TTC12
967,STC1
968,DTL
969,CCDC7
970,SNORA71B
971,ZNF665
972,RGS17
973,COL21A1
974,LRGUK
975,ZRANB2
976,RBBP6
977,RBM39
978,SNORA9
979,LOC100130476
980,FRAS1
981,MAPK10
982,GHRLOS
983,ACACB
984,FAM157A
985,MIR17HG
986,CCDC39
987,MIR100HG
988,NAIP
989,ZBBX
990,TCHH
991,ZNF578
992,NBPF10
993,STXBP5-AS1
994,STK31
995,AMT
996,THUMPD2
997,CDH2
998,TRO
999,SENCR
1000,ZNF83
1001,CDH6
1002,SPOCK3
1003,RBM41
1004,ZNF441
1005,KLHL31
1006,CASR
1007,LOC100133315
1008,NEDD9
1009,GAD1
1010,XRCC4
1011,NCKAP5
1012,ZC3H8
1013,ATP2A1
1014,ADAMTS9
1015,IGSF9B
1016,PLCB2
1017,CCL2
1018,TNIK
1019,PLTP
1020,PRKXP1
1021,GPBP1
1022,DIXDC1
1023,TLR4
1024,TRMT13
1025,RRN3P3
1026,PCDHGB1
1027,COL7A1
1028,INTS3
1029,ZCWPW2
1030,ZNF454
1031,LAMC3
1032,LY6K
1033,KLF3-AS1
1034,ZCCHC7
1035,BTN2A3P
1036,SHISA9
1037,SOCS1
1038,MIAT
1039,CBWD3
1040,FGF14
1041,COL1A2
1042,CHD2
1043,DNAH14
1044,COL4A2
1045,LOC100506258
1046,ZNF507
1047,SCUBE3
1048,UACA
1049,KRIT1
1050,CCDC62
1051,FAM161A
1052,TRAF1
1053,FMNL2
1054,TAF1D
1055,RAD52
1056,OLFML3
1057,LAMB1
1058,FGR
1059,PCDHGA11
1060,PIWIL4
1061,DBF4B
1062,PCDHA12
1063,ZNF675
1064,NINL
1065,RPS15AP10
1066,MALAT1
1067,ARHGAP33
1068,ST18
1069,MLH3
1070,MXRA5
1071,PCNT
1072,ZFP82
1073,LOC101928020
1074,DNM3
1075,PPP1R12B
1076,AFF2
1077,LINC00941
1078,HHLA2
1079,SLC22A1
1080,CFD
1081,PLCD4
1082,GDF15
1083,PNPLA7
1084,MYH3
1085,AP3B2
1086,PKD1L1
1087,STX16-NPEPL1
1088,ZSCAN12
1089,TRAF5
1090,SNORD1C
1091,TRIM9
1092,CACNA2D1
1093,HOXA10
1094,ERC1
1095,KIF27
1096,ZNF385A
1097,MIA2
1098,CCSER1
1099,PCDHA13
1100,RPS14P3
1101,B3GALT5
1102,ARHGEF33
1103,MIR642A
1104,LONRF2
1105,ITIH4
1106,MUC21
1107,ZNF30
1108,FAM153B
